month,prop_cases,ref
April,0.049105833,NIVEL 2024
May,0,NIVEL 2024
June,0,NIVEL 2024
July,0,NIVEL 2024
August,0,NIVEL 2024
September,0,NIVEL 2024
October,0.047014745,NIVEL 2024
November,0.087509958,NIVEL 2024
December,0.23817677,NIVEL 2024
January,0.35539634,NIVEL 2024
February,0.148795184,NIVEL 2024
March,0.074001171,NIVEL 2024
