"","geo","year","value","curr"
"713","ee",2003,0.591722,"EUR"
"714","gr",2003,0.834502,"EUR"
"715","es",2003,0.924863,"EUR"
"716","fi",2003,1.22054,"EUR"
"717","fr",2003,1.13271,"EUR"
"718","hr",2003,0.644098,"EUR"
"719","hu",2003,148.624,"HUF"
"720","ie",2003,1.2229,"EUR"
"721","is",2003,112.807,"ISK"
"722","it",2003,1.01525,"EUR"
"723","jp",2003,170.029,"JPY"
"724","lt",2003,0.492105,"EUR"
"725","lu",2003,1.17512,"EUR"
"726","lv",2003,0.460721,"EUR"
"727","mk",2003,24.4845,"MKD"
"728","mt",2003,0.699068,"EUR"
"729","nl",2003,1.12736,"EUR"
"730","no",2003,11.2035,"NOK"
"731","pl",2003,2.19803,"PLN"
"732","pt",2003,0.815883,"EUR"
"733","ro",2003,1.43332,"RON"
"734","rs",2003,27.5728,"RSD"
"735","se",2003,11.5549,"SEK"
"736","si",2003,0.740475,"EUR"
"737","sk",2003,0.663072,"EUR"
"738","tr",2003,0.897191,"TRY"
"739","gb",2003,0.847653,"GBP"
"740","us",2003,1.21816,"USD"
"741","al",2002,52.3741,"ALL"
"742","at",2002,1.09784,"EUR"
"743","be",2002,1.06551,"EUR"
"744","bg",2002,0.681166,"BGN"
"745","ch",2002,2.08607,"CHF"
"746","cy",2002,0.866887,"EUR"
"747","cz",2002,17.6405,"CZK"
"748","de",2002,1.11426,"EUR"
"749","dk",2002,10.446,"DKK"
"750","ee",2002,0.593265,"EUR"
"751","gr",2002,0.808884,"EUR"
"752","es",2002,0.905692,"EUR"
"753","fi",2002,1.21782,"EUR"
"754","fr",2002,1.09891,"EUR"
"755","hr",2002,0.628201,"EUR"
"756","hu",2002,144.144,"HUF"
"757","ie",2002,1.19813,"EUR"
"758","is",2002,111.157,"ISK"
"759","it",2002,1.00474,"EUR"
"760","jp",2002,175.418,"JPY"
"761","lt",2002,0.513331,"EUR"
"762","lu",2002,1.16763,"EUR"
"763","lv",2002,0.440398,"EUR"
"764","mk",2002,24.4203,"MKD"
"765","mt",2002,0.709896,"EUR"
"766","nl",2002,1.09914,"EUR"
"767","no",2002,11.0501,"NOK"
"768","pl",2002,2.19592,"PLN"
"769","pt",2002,0.820003,"EUR"
"770","ro",2002,1.19368,"RON"
"771","rs",2002,24.8383,"RSD"
"772","se",2002,11.4856,"SEK"
"773","si",2002,0.711665,"EUR"
"774","sk",2002,0.636302,"EUR"
"775","tr",2002,0.721383,"TRY"
"776","gb",2002,0.841716,"GBP"
"777","us",2002,1.2201,"USD"
"778","al",2001,51.7321,"ALL"
"779","at",2001,1.1152,"EUR"
"780","be",2001,1.07831,"EUR"
"781","bg",2001,0.67161,"BGN"
"782","ch",2001,2.13716,"CHF"
"783","cy",2001,0.859913,"EUR"
"784","cz",2001,17.3064,"CZK"
"785","de",2001,1.12342,"EUR"
"786","dk",2001,10.503,"DKK"
"787","ee",2001,0.589529,"EUR"
"788","gr",2001,0.807741,"EUR"
"789","es",2001,0.903283,"EUR"
"790","fi",2001,1.21157,"EUR"
"791","fr",2001,1.10165,"EUR"
"792","hr",2001,0.6211,"EUR"
"793","hu",2001,138.246,"HUF"
"794","ie",2001,1.17133,"EUR"
"795","is",2001,106.693,"ISK"
"796","it",2001,0.986367,"EUR"
"797","jp",2001,180.799,"JPY"
"798","lt",2001,0.522923,"EUR"
"799","lu",2001,1.16411,"EUR"
"800","lv",2001,0.426948,"EUR"
"801","mk",2001,24.7664,"MKD"
"802","mt",2001,0.711648,"EUR"
"803","nl",2001,1.09336,"EUR"
"804","no",2001,11.086,"NOK"
"805","pl",2001,2.21986,"PLN"
"806","pt",2001,0.810645,"EUR"
"807","ro",2001,0.982948,"RON"
"808","rs",2001,21.5399,"RSD"
"809","se",2001,11.3605,"SEK"
"810","si",2001,0.67681,"EUR"
"811","sk",2001,0.623125,"EUR"
"812","tr",2001,0.501414,"TRY"
"813","gb",2001,0.839189,"GBP"
"814","us",2001,1.20821,"USD"
"815","al",2000,50.5932,"ALL"
"816","at",2000,1.09267,"EUR"
"817","be",2000,1.08363,"EUR"
"818","bg",2000,0.645318,"BGN"
"819","ch",2000,2.1536,"CHF"
"820","cy",2000,0.863302,"EUR"
"821","cz",2000,17.2545,"CZK"
"822","de",2000,1.13551,"EUR"
"823","dk",2000,10.4392,"DKK"
"824","ee",2000,0.564523,"EUR"
"825","gr",2000,0.806326,"EUR"
"826","es",2000,0.890715,"EUR"
"827","fi",2000,1.18476,"EUR"
"828","fr",2000,1.12005,"EUR"
"829","hr",2000,0.605095,"EUR"
"830","hu",2000,132.531,"HUF"
"831","ie",2000,1.1364,"EUR"
"832","is",2000,102.009,"ISK"
"833","it",2000,0.969557,"EUR"
"834","jp",2000,186.255,"JPY"
"835","lt",2000,0.543821,"EUR"
"836","lu",2000,1.15073,"EUR"
"837","lv",2000,0.434426,"EUR"
"838","mk",2000,24.013,"MKD"
"839","mt",2000,0.698317,"EUR"
"840","nl",2000,1.07212,"EUR"
"841","no",2000,10.9391,"NOK"
"842","pl",2000,2.20691,"PLN"
"843","pt",2000,0.795904,"EUR"
"844","ro",2000,0.741809,"RON"
"845","rs",2000,11.5572,"RSD"
"846","se",2000,11.0327,"SEK"
"847","si",2000,0.633937,"EUR"
"848","sk",2000,0.621744,"EUR"
"849","tr",2000,0.339049,"TRY"
"850","gb",2000,0.848268,"GBP"
"851","us",2000,1.20404,"USD"
