"","geo","year","value","curr"
"143","se",2019,13.2008,"SEK"
"144","si",2019,0.836876,"EUR"
"145","sk",2019,0.784397,"EUR"
"146","tr",2019,2.82519,"TRY"
"147","gb",2019,1.02983,"GBP"
"148","us",2019,1.51565,"USD"
"149","al",2018,62.3868,"ALL"
"150","at",2018,1.12879,"EUR"
"151","be",2018,1.13027,"EUR"
"152","bg",2018,1.00299,"BGN"
"153","ch",2018,1.73855,"CHF"
"154","cy",2018,0.903208,"EUR"
"155","cz",2018,18.2451,"CZK"
"156","de",2018,1.08461,"EUR"
"157","dk",2018,9.97826,"DKK"
"158","ee",2018,0.79454,"EUR"
"159","gr",2018,0.833032,"EUR"
"160","es",2018,0.931754,"EUR"
"161","fi",2018,1.25908,"EUR"
"162","fr",2018,1.11517,"EUR"
"163","hr",2018,0.648088,"EUR"
"164","hu",2018,205.129,"HUF"
"165","ie",2018,1.16833,"EUR"
"166","is",2018,207.898,"ISK"
"167","it",2018,1.00464,"EUR"
"168","jp",2018,153.61,"JPY"
"169","lt",2018,0.65866,"EUR"
"170","lu",2018,1.25188,"EUR"
"171","lv",2018,0.722533,"EUR"
"172","mk",2018,27.9484,"MKD"
"173","mt",2018,0.865274,"EUR"
"174","nl",2018,1.14552,"EUR"
"175","no",2018,14.1342,"NOK"
"176","pl",2018,2.57852,"PLN"
"177","pt",2018,0.842426,"EUR"
"178","ro",2018,2.45635,"RON"
"179","rs",2018,60.4716,"RSD"
"180","se",2018,13.0751,"SEK"
"181","si",2018,0.837094,"EUR"
"182","sk",2018,0.775728,"EUR"
"183","tr",2018,2.40772,"TRY"
"184","gb",2018,1.01422,"GBP"
"185","us",2018,1.47477,"USD"
"186","al",2017,61.524,"ALL"
"187","at",2017,1.12841,"EUR"
"188","be",2017,1.12932,"EUR"
"189","bg",2017,0.984663,"BGN"
"190","ch",2017,1.72933,"CHF"
"191","cy",2017,0.895707,"EUR"
"192","cz",2017,18.0908,"CZK"
"193","de",2017,1.0844,"EUR"
"194","dk",2017,10.0052,"DKK"
"195","ee",2017,0.778826,"EUR"
"196","gr",2017,0.83726,"EUR"
"197","es",2017,0.918502,"EUR"
"198","fi",2017,1.25748,"EUR"
"199","fr",2017,1.12128,"EUR"
"200","hr",2017,0.642472,"EUR"
"201","hu",2017,198.069,"HUF"
"202","ie",2017,1.15665,"EUR"
"203","is",2017,201.332,"ISK"
"204","it",2017,1.00449,"EUR"
"205","jp",2017,153.028,"JPY"
"206","lt",2017,0.644599,"EUR"
"207","lu",2017,1.23514,"EUR"
"208","lv",2017,0.705485,"EUR"
"209","mk",2017,27.6205,"MKD"
"210","mt",2017,0.853833,"EUR"
"211","nl",2017,1.13881,"EUR"
"212","no",2017,14.1958,"NOK"
"213","pl",2017,2.53763,"PLN"
"214","pt",2017,0.838202,"EUR"
"215","ro",2017,2.34936,"RON"
"216","rs",2017,59.4352,"RSD"
"217","se",2017,12.8889,"SEK"
"218","si",2017,0.830138,"EUR"
"219","sk",2017,0.751927,"EUR"
"220","tr",2017,2.01508,"TRY"
"221","gb",2017,0.996779,"GBP"
"222","us",2017,1.456,"USD"
"223","al",2016,61.0238,"ALL"
"224","at",2016,1.11857,"EUR"
"225","be",2016,1.12444,"EUR"
"226","bg",2016,0.959813,"BGN"
"227","ch",2016,1.7305,"CHF"
"228","cy",2016,0.89598,"EUR"
"229","cz",2016,18.1065,"CZK"
"230","de",2016,1.08355,"EUR"
"231","dk",2016,10.193,"DKK"
"232","ee",2016,0.759956,"EUR"
"233","gr",2016,0.847392,"EUR"
"234","es",2016,0.92523,"EUR"
"235","fi",2016,1.26824,"EUR"
"236","fr",2016,1.12305,"EUR"
"237","hr",2016,0.646249,"EUR"
"238","hu",2016,190.092,"HUF"
"239","ie",2016,1.14356,"EUR"
"240","is",2016,201.604,"ISK"
"241","it",2016,1.00859,"EUR"
"242","jp",2016,151.919,"JPY"
"243","lt",2016,0.631233,"EUR"
"244","lu",2016,1.22649,"EUR"
"245","lv",2016,0.697596,"EUR"
"246","mk",2016,27.2952,"MKD"
"247","mt",2016,0.839384,"EUR"
"248","nl",2016,1.14522,"EUR"
"249","no",2016,14.4576,"NOK"
"250","pl",2016,2.49482,"PLN"
"251","pt",2016,0.822681,"EUR"
"252","ro",2016,2.29913,"RON"
"253","rs",2016,58.2442,"RSD"
"254","se",2016,12.7021,"SEK"
"255","si",2016,0.830873,"EUR"
"256","sk",2016,0.72446,"EUR"
"257","tr",2016,1.78677,"TRY"
"258","gb",2016,0.991397,"GBP"
"259","us",2016,1.43972,"USD"
"260","al",2015,59.4071,"ALL"
"261","at",2015,1.11121,"EUR"
"262","be",2015,1.11286,"EUR"
"263","bg",2015,0.944125,"BGN"
"264","ch",2015,1.71908,"CHF"
"265","cy",2015,0.922479,"EUR"
"266","cz",2015,17.9977,"CZK"
"267","de",2015,1.08243,"EUR"
"268","dk",2015,10.1623,"DKK"
"269","ee",2015,0.747815,"EUR"
"270","gr",2015,0.847264,"EUR"
"271","es",2015,0.924704,"EUR"
"272","fi",2015,1.26275,"EUR"
"273","fr",2015,1.12496,"EUR"
"274","hr",2015,0.648483,"EUR"
"275","hu",2015,184.392,"HUF"
"276","ie",2015,1.12634,"EUR"
"277","is",2015,197.498,"ISK"
"278","it",2015,1.02758,"EUR"
"279","jp",2015,143.934,"JPY"
"280","lt",2015,0.620223,"EUR"
"281","lu",2015,1.2259,"EUR"
"282","lv",2015,0.692158,"EUR"
"283","mk",2015,27.0434,"MKD"
"284","mt",2015,0.83423,"EUR"
"285","nl",2015,1.12674,"EUR"
"286","no",2015,13.8169,"NOK"
"287","pl",2015,2.45541,"PLN"
"288","pt",2015,0.813706,"EUR"
"289","ro",2015,2.31318,"RON"
"290","rs",2015,56.6689,"RSD"
"291","se",2015,12.3171,"SEK"
"292","si",2015,0.828105,"EUR"
"293","sk",2015,0.683782,"EUR"
"294","tr",2015,1.61706,"TRY"
"295","gb",2015,0.963392,"GBP"
"296","us",2015,1.39108,"USD"
"297","al",2014,59.857,"ALL"
"298","at",2014,1.11469,"EUR"
"299","be",2014,1.11667,"EUR"
"300","bg",2014,0.922723,"BGN"
"301","ch",2014,1.78865,"CHF"
"302","cy",2014,0.948513,"EUR"
"303","cz",2014,17.7269,"CZK"
"304","de",2014,1.07302,"EUR"
"305","dk",2014,10.2269,"DKK"
"306","ee",2014,0.735258,"EUR"
"307","gr",2014,0.852817,"EUR"
"308","es",2014,0.924299,"EUR"
"309","fi",2014,1.26598,"EUR"
"310","fr",2014,1.12693,"EUR"
"311","hr",2014,0.656289,"EUR"
"312","hu",2014,180.594,"HUF"
"313","ie",2014,1.14294,"EUR"
"314","is",2014,193.339,"ISK"
"315","it",2014,1.03215,"EUR"
"316","jp",2014,143.806,"JPY"
"317","lt",2014,0.617663,"EUR"
"318","lu",2014,1.23378,"EUR"
"319","lv",2014,0.694328,"EUR"
"320","mk",2014,26.5081,"MKD"
"321","mt",2014,0.818245,"EUR"
"322","nl",2014,1.12865,"EUR"
"323","no",2014,12.9478,"NOK"
"324","pl",2014,2.46599,"PLN"
"325","pt",2014,0.807791,"EUR"
"326","ro",2014,2.27233,"RON"
"327","rs",2014,55.5423,"RSD"
"328","se",2014,12.1784,"SEK"
"329","si",2014,0.825052,"EUR"
"330","sk",2014,0.677375,"EUR"
"331","tr",2014,1.5413,"TRY"
"332","gb",2014,0.974654,"GBP"
"333","us",2014,1.39547,"USD"
"334","al",2013,61.1306,"ALL"
"335","at",2013,1.10456,"EUR"
"336","be",2013,1.11715,"EUR"
"337","bg",2013,0.942321,"BGN"
"338","ch",2013,1.81877,"CHF"
"339","cy",2013,0.952449,"EUR"
"340","cz",2013,17.7172,"CZK"
"341","de",2013,1.07366,"EUR"
"342","dk",2013,10.192,"DKK"
"343","ee",2013,0.723951,"EUR"
"344","gr",2013,0.874806,"EUR"
"345","es",2013,0.935106,"EUR"
