"","geo","year","values"
"253","lu",2017,102.09
"254","lv",2017,103.82
"255","me",2017,102.62
"256","mk",2017,103.39
"257","mt",2017,104.44
"258","nl",2017,101.17
"259","no",2017,106.2
"260","pl",2017,101.4
"261","pt",2017,102.53
"262","ro",2017,99.61
"263","rs",2017,105
"264","se",2017,103
"265","si",2017,101.76
"266","sk",2017,100.82
"267","tr",2017,118.72
"268","gb",2017,103.3
"269","us",2017,102.35
"270",NA,2017,101.47
"271","al",2016,100.22
"272","at",2016,101.04
"273","be",2016,102.4
"274","bg",2016,98.27
"275","ch",2016,99.74
"276","cy",2016,99.31
"277","cz",2016,100.6
"278","de",2016,100.6
"279","dk",2016,100.4
"280",NA,2016,100.76
"281","ee",2016,101.37
"282","gr",2016,101.38
"283","es",2016,100.59
"284","fi",2016,100.46
"285","fr",2016,100.8
"286","hr",2016,99.77
"287","hu",2016,100.87
"288","ie",2016,100.9
"289","is",2016,102.5
"290","it",2016,100.8
"291","lt",2016,101.13
"292","lu",2016,100.6
"293","lv",2016,100.71
"294","me",2016,100.26
"295","mk",2016,100.75
"296","mt",2016,103.36
"297","nl",2016,100.2
"298","no",2016,104.2
"299","pl",2016,100.1
"300","pt",2016,101.5
"301","ro",2016,98.94
"302","rs",2016,101.1
"303","se",2016,101.19
"304","si",2016,100.84
"305","sk",2016,99.82
"306","tr",2016,106.76
"307","gb",2016,100.6
"308","us",2016,101.21
"309",NA,2016,99.56
"310","at",2015,100.4
"311","be",2015,100.6
"312","bg",2015,100.15
"313","ch",2015,100.32
"314","cy",2015,101.32
"315","cz",2015,100.7
"316","de",2015,100.5
"317","dk",2015,100.3
"318",NA,2015,100.72
"319","ee",2015,100.94
"320","gr",2015,101.15
"321","es",2015,101.46
"322","fi",2015,100.12
"323","fr",2015,100.49
"324","hr",2015,100.97
"325","hu",2015,100.99
"326","ie",2015,100.8
"327","is",2015,100.89
"328","it",2015,101
"329","lt",2015,100.77
"330","lu",2015,101.02
"331","lv",2015,101.35
"332","me",2015,101.31
"333","mk",2015,100.78
"334","mt",2015,102.3
"335","nl",2015,100.4
"336","no",2015,100.1
"337","pl",2015,100.5
"338","pt",2015,100.82
"339","ro",2015,99.59
"340","rs",2015,100.8
"341","se",2015,100
"342","si",2015,100.79
"343","sk",2015,100.55
"344","tr",2015,99.75
"345","gb",2015,100.2
"346","us",2015,100.96
"347","at",2014,99.43
"348","be",2014,99.74
"349","bg",2014,100.72
"350","ch",2014,100.9
"351","cy",2014,103.48
"352","cz",2014,99.8
"353","de",2014,99.4
"354","dk",2014,99.9
"355",NA,2014,100.23
"356","ee",2014,100.64
"357","gr",2014,102.27
"358","es",2014,101.49
"359","fi",2014,100.05
"360","fr",2014,100.16
"361","hr",2014,100.91
"362","hu",2014,100.29
"363","ie",2014,100.4
"364","is",2014,100.92
"365","it",2014,100.8
"366","lt",2014,100.99
"367","lu",2014,100.56
"368","lv",2014,100.67
"369","mk",2014,99.81
"370","mt",2014,101.14
