"","currency","year","values"
"1143","DKK",1976,6.7338
"1144","GBP",1976,0.62238
"1145","JPY",1976,328.33
"1146","NOK",1976,6.0911
"1147","SEK",1976,4.8841
"1148","USD",1976,1.0984
"1149","CAD",1975,1.336
"1150","CHF",1975,3.2465
"1151","DKK",1975,7.082
"1152","GBP",1975,0.57084
"1153","JPY",1975,381.54
"1154","NOK",1975,6.3791
"1155","SEK",1975,5.0969
"1156","USD",1975,1.3024
"1157","DKK",1974,7.1939
"1158","GBP",1974,0.50414
"1159","USD",1974,1.2044
"1160","DKK",1973,7.377
"1161","GBP",1973,0.49128
"1162","USD",1973,1.2659
"1163","DKK",1972,7.8702
"1164","GBP",1972,0.43929
"1165","USD",1972,1.1333
"1166","DKK",1971,7.7664
"1167","GBP",1971,0.42846
"1168","USD",1971,1.0366
